accession,genus,species,date,elevation,collector,latitude,longitude,,
V40344,Aira,caryophyllea,1950 May 21,60 m,Vladimir J. Krajina,48.4,-123.3,Verbatim from Collector/Sheet,anthers
V40366,Bromus,diandrus,1950 May 21,60 m,Vladimir J. Krajina,48.4,-123.3,Verbatim from Collector/Sheet,no anthers
V123607,Bromus,inermis,1963 Jul 21,,V. Gerardin,48.4,-64.6,Verbatim from Collector/Sheet,no anthers
V237960,Alopecurus,aequalis,1896 Jun 20,,J.R. Anderson,48.4,-123.3,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V18861,Deschampsia,elongata,1913 Jul,,J.K. Henry,48.4,-123.3,Verbatim from Collector/Sheet,anthers
V121057,Leymus,mollis,1948 May 19,,Vernon C. Brink,48.4,-123.8,Verbatim from Collector/Sheet,anthers
V193363,Leymus,mollis,1987 Aug 08,,William J. Crins,48.4,-123.7,Verbatim from Collector/Sheet,anthers
V217604,Panicum,miliaceum,1995 Aug 24,,Adolf Ceska,48.4,-123.4,Verbatim from Collector/Sheet,anthers
V217609,Phleum,pratense,1966 Jul 20,33 m,A.S. Harrison,48.4,-123.29,Verbatim from Collector/Sheet,anthers
V175039,Glyceria,borealis,1981 Aug 21,,C.E. Garton,48.4,-90.6,Verbatim from Collector/Sheet,no anthers
V174353,Glyceria,borealis,1981 Aug 25,,C.E. Garton,48.4,-90.5,Verbatim from Collector/Sheet,anthers
V175042,Glyceria,striata,1981 Jul 01,,C.E. Garton,48.4,-90.7,Verbatim from Collector/Sheet,anthers
V175060,Glyceria,canadensis,1981 Jul 10,,C.E. Garton,48.4,-90.4,Verbatim from Collector/Sheet,anthers
V174680,Poa,annua,1981 Jun 22,,C.E. Garton,48.4,-90.6,Verbatim from Collector/Sheet,anthers
V206787,Leymus,mollis,1966 May 09,,Katherine I. Beamish,48.4,-123.8,Verbatim from Collector/Sheet,no anthers
V214616,Elymus,glaucus,1996 Jun 27,380 m,Jenifer L. Penny,48.4,-123.6,Verbatim from Collector/Sheet,anthers
V214614,Elymus,glaucus,1996 Jun 27,440 m,Jenifer L. Penny,48.4,-123.6,Verbatim from Collector/Sheet,anthers
V116219,Festuca,rubra,1946 Jul 19,,Vernon C. Brink,48.4,-123.8,Verbatim from Collector/Sheet,no anthers
V110993,Deschampsia,caespitosa,1964 Oct 12,,Katherine I. Beamish,48.4,-122.7,Verbatim from Collector/Sheet,anthers
V121063,Festuca,rubra,1948 May 19,,Vernon C. Brink,48.4,-123.8,Verbatim from Collector/Sheet,no anthers
V123595,Cinna,latifolia,1963 Jul 30,,V. Gerardin,48.4,-65.8,Verbatim from Collector/Sheet,anthers
V218616,Elymus,repens,1998 Jul 25,,Adolf Ceska,48.4,-123.3,Verbatim from Collector/Sheet,no anthers
V17563,Agrostis,exarata,1894 Jul 14,,J.R. Anderson,48.4,-123.3,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V227515,Agrostis,exarata,2008 Jul 16,1 m,Frank Lomer,48.407,-123.32,Verbatim from Collector/Sheet,anthers
V17792,Aira,caryophyllea,1912 May 01,,John Davidson,48.41,-123.37,BC_GeographicalName Table,no anthers
V17814,Aira,praecox,1938 Apr 09,,John W. Eastham,48.41,-123.37,BC_GeographicalName Table,anthers
V17790,Aira,caryophyllea,1941 Jul 13,,John W. Eastham,48.41,-123.37,BC_GeographicalName Table,no anthers
V17815,Aira,praecox,1938 May 03,,John W. Eastham,48.41,-123.37,BC_GeographicalName Table,anthers
V217631,Lolium,perenne,1966 Jun 18,33 m,A.S. Harrison,48.41,-123.31,Verbatim from Collector/Sheet,anthers
V231274,Poa,annua,2003 Apr 24,20 m,Frank Lomer,48.41,-123.36,Verbatim from Collector/Sheet,anthers
V233311,Arrhenatherum,elatius,2005 Jul 17,10 m,Frank Lomer,48.41,-123.31,Verbatim from Collector/Sheet,no anthers
V233454,Bromus,carinatus,2007 May 06,10 m,Frank Lomer,48.41,-123.34,Verbatim from Collector/Sheet,no anthers
V233749,Agrostis,exarata,2007 Oct 19,2 m,Frank Lomer,48.41,-123.32,Verbatim from Collector/Sheet,anthers
V233750,Agrostis,exarata,2007 Oct 19,4 m,Frank Lomer,48.41,-123.32,Verbatim from Collector/Sheet,anthers
V233754,Agrostis,exarata,2007 Oct 19,2 m,Frank Lomer,48.41,-123.3,Verbatim from Collector/Sheet,anthers
V230571,Avena,fatua,2009 Jun 11,30 m,Frank Lomer,48.411,-123.346,Verbatim from Collector/Sheet,anthers
V237434,Agrostis,exarata,2007 Jun 04,74 m,Jeffery M. Saarela,48.424,-123.552,Verbatim from Collector/Sheet,anthers
V241885,Poa,annua,2014 Apr 29,3 m,Frank Lomer,48.425,-123.37,Verbatim from Collector/Sheet,anthers
V230600,Agrostis,exarata,2009 Jun 14,11 m,Frank Lomer,48.428,-123.3,Verbatim from Collector/Sheet,anthers
V17916,Anthoxanthum,odoratum,1943 May 17,,C. Tice,48.43,-123.36,BC_GeographicalName Table,no anthers
V49007,Elymus,trachycaulus,1920 Jun 29,,George V. Copley,48.43,-123.36,BC_GeographicalName Table,anthers
V17805,Aira,praecox,1912 May 01,,John Davidson,48.43,-123.36,BC_GeographicalName Table,anthers
V18139,Bromus,diandrus,1938 Jun 01,,John W. Eastham,48.43,-123.36,BC_GeographicalName Table,anthers
V17962,Arrhenatherum,elatius,1939 Jun 11,,John W. Eastham,48.43,-123.36,BC_GeographicalName Table,anthers
V17788,Aira,caryophyllea,1945 Jun 13,,John W. Eastham,48.43,-123.36,BC_GeographicalName Table,anthers
V121068,Aira,praecox,1948 May 16,,Vernon C. Brink,48.43,-123.36,BC_GeographicalName Table,anthers
V17593,Agrostis,exarata,1941 Jun,,Anonymous,48.43,-123.36,BC_GeographicalName Table,anthers
V17747,Agrostis,gigantea,1928 Jul 12,,D.E. Newton,48.43,-123.3,BC_GeographicalName Table,anthers
V49012,Agrostis,capillaris,1920 Jul 11,23 m,George V. Copley,48.43,-123.36,BC_GeographicalName Table,anthers
V49015,Agrostis,gigantea,1920 Jun 29,23 m,George V. Copley,48.43,-123.36,BC_GeographicalName Table,no anthers
V17860,Alopecurus,pratensis,1939 Jun 11,,John W. Eastham,48.43,-123.36,BC_GeographicalName Table,no anthers
V18630,Dactylis,glomerata,1896 Jun 21,,J.R. Anderson,48.43,-123.3,BC_GeographicalName Table,anthers
V144642,Festuca,rubra,1961 Jun 21,,James A. Calder,48.43,-123.36,BC_GeographicalName Table,anthers
V19382,Festuca,rubra,1945 Jun 13,,John W. Eastham,48.43,-123.36,BC_GeographicalName Table,anthers
V225025,Briza,maxima,2004 Apr 05,,Christian Englestoff,48.43,-123.23,Verbatim from Collector/Sheet,anthers
V228490,Phleum,pratense,1963 Jun 20,,N. Chapman,48.43,-123.36,BC_GeographicalName Table,no anthers
V216886,Bromus,commutatus,1981 May 22,,Adolf Ceska,48.43,-123.23,Verbatim from Collector/Sheet,no anthers
V20224,Poa,annua,1895 Jul 11,,J.R. Anderson,48.43,-123.36,BC_GeographicalName Table,anthers
V237484,Bromus,carinatus,2007 Jun 04,80 m,Jeffery M. Saarela,48.437,-123.716,Verbatim from Collector/Sheet,anthers
V237485,Bromus,carinatus,2007 Jun 04,80 m,Jeffery M. Saarela,48.437,-123.716,Verbatim from Collector/Sheet,anthers
V230570,Agrostis,exarata,2009 Jun 11,6 m,Frank Lomer,48.44,-123.29,Verbatim from Collector/Sheet,anthers
V230589,Deschampsia,caespitosa,2009 Jun 13,9 m,Frank Lomer,48.444,-123.29,Verbatim from Collector/Sheet,anthers
V20288,Poa,compressa,1919 Jul 14,,John Davidson,48.45,-123.3333333,,no anthers
V20289,Poa,compressa,1919 Jul 14,,John Davidson,48.45,-123.3333333,,no anthers
