accession,genus,species,date,elevation,collector,latitude,longitude,,
V17786,Aira,caryophyllea,1945 Jun 13,,John W. Eastham,48.46,-123.37,BC_GeographicalName Table,no anthers
V178485,Aira,caryophyllea,1982 Jul 01,,S.G. Aiken,48.46,-123.55,BC_GeographicalName Table,no anthers
V17592,Agrostis,exarata,1940 Jun 13,,Ian McTaggart Cowan,48.46,-123.55,BC_GeographicalName Table,anthers
V19386,Festuca,rubra,1941 May 29,,John W. Eastham,48.46,-123.37,BC_GeographicalName Table,no anthers
V217619,Hordeum,brachyantherum,1966 Jul 29,0-6 m,A.S. Harrison,48.46,-123.3,Verbatim from Collector/Sheet,anthers
V227509,Agrostis,gigantea,2008 Jul 16,26 m,Frank Lomer,48.46,-123.47,Verbatim from Collector/Sheet,anthers
V230549,Briza,maxima,2009 May 17,17 m,Frank Lomer,48.463,-123.298,Verbatim from Collector/Sheet,no anthers
V237433,Agrostis,exarata,2007 Jun 04,21 m,Jeffery M. Saarela,48.465,-123.472,Verbatim from Collector/Sheet,no anthers
V237462,Aira,praecox,2007 Jun 04,21 m,Jeffery M. Saarela,48.465,-123.472,Verbatim from Collector/Sheet,anthers
V237486,Bromus,carinatus,2007 Jun 04,21 m,Jeffery M. Saarela,48.465,-123.472,Verbatim from Collector/Sheet,no anthers
V237526,Bromus,hordeaceus,2007 Jun 04,21 m,Jeffery M. Saarela,48.465,-123.472,Verbatim from Collector/Sheet,anthers
V237649,Festuca,occidentalis,2007 Jun 04,21 m,Jeffery M. Saarela,48.465,-123.472,Verbatim from Collector/Sheet,anthers
V17817,Aira,praecox,1941 May 27,,John W. Eastham,48.47,-123.47,BC_GeographicalName Table,anthers
V218053,Festuca,rubra,199?,,Tim Wahl,48.47,-122.69,Verbatim from Collector/Sheet,no anthers
V242823,Agrostis,pallens,2011 Jul 02,80 m,Hans Roemer,48.477,-123.444,Verbatim from Collector/Sheet,anthers
V217629,Lolium,perenne,1967 Jun 08,46 m,A.S. Harrison,48.48,-123.4,Verbatim from Collector/Sheet,anthers
V217657,Poa,compressa,1967 Jun 08,46 m,A.S. Harrison,48.48,-123.4,Verbatim from Collector/Sheet,no anthers
V223842,Agrostis,pallens,2001 Aug 30,148 m,Jenifer L. Penny,48.493,-123.35,Verbatim from Collector/Sheet,anthers
V48975,Aira,praecox,1920 Jun,,George V. Copley,48.5,-123.5,Verbatim from Collector/Sheet,no anthers
V18163,Bromus,inermis,1904 Jul 11,,J.R. Anderson,48.5,-123.6,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V17818,Aira,praecox,1942 May 20,,John W. Eastham,48.5,-123.3,Verbatim from Collector/Sheet,anthers
V17810,Aira,praecox,1942 May 20,,John W. Eastham,48.5,-123.3,Verbatim from Collector/Sheet,anthers
V174204,Brachyelytrum,aristosum,1980 Jul 08,,C.E. Garton,48.5,-89.2,Verbatim from Collector/Sheet,anthers
V173914,Brachyelytrum,aristosum,1980 Aug 15,,C.E. Garton,48.5,-89.2,Verbatim from Collector/Sheet,no anthers
V174532,Calamagrostis,stricta,1981 Jul 19,,C.E. Garton,48.5,-90.5,Verbatim from Collector/Sheet,anthers
V174403,Agrostis,stolonifera,1981 Jul 19,,C.E. Garton,48.5,-90.6,Verbatim from Collector/Sheet,anthers
V101296,Aira,praecox,1962 May 11,66 m,J. Hett,48.5,-123.4,Verbatim from Collector/Sheet,anthers
V79252,Aira,caryophyllea,1959 May 22,,L. Holm,48.5,-123.4,Verbatim from Collector/Sheet,anthers
V18243,Bromus,commutatus,1939 Jun 11,,John W. Eastham,48.5,-123.4,Verbatim from Collector/Sheet,no anthers
V18245,Bromus,commutatus,1941 May 27,,John W. Eastham,48.5,-123.5,Verbatim from Collector/Sheet,no anthers
V40365,Bromus,diandrus,1950 May 17,65 m,Vladimir J. Krajina,48.5,-123.3,Verbatim from Collector/Sheet,no anthers
V17352,Aira,praecox,1968 May 10,,Vladimir J. Krajina,48.5,-123.5,Verbatim from Collector/Sheet,anthers
V17869,Alopecurus,geniculatus,1939 Jun 11,,John W. Eastham,48.5,-123.3,Verbatim from Collector/Sheet,anthers
V17861,Alopecurus,geniculatus,1939 Jun 11,,John W. Eastham,48.5,-123.3,Verbatim from Collector/Sheet,anthers
V178004,Elymus,glaucus,1972 Jul 20,457 m,Christopher J. Marchant,48.5,-123.6,Verbatim from Collector/Sheet,anthers
V19239,Festuca,occidentalis,1939 Jun 11,,John W. Eastham,48.5,-123.4,Verbatim from Collector/Sheet,anthers
V19383,Festuca,rubra,1942 May 22,,John W. Eastham,48.5,-123.3,Verbatim from Collector/Sheet,anthers
V19232,Festuca,occidentalis,1941 May 28,,John W. Eastham,48.5,-123.4,Verbatim from Collector/Sheet,anthers
V19236,Festuca,occidentalis,1941 May 28,,John W. Eastham,48.5,-123.4,Verbatim from Collector/Sheet,anthers
V217608,Phleum,pratense,1966 Aug 11,53 m,A.S. Harrison,48.5,-123.3,Verbatim from Collector/Sheet,anthers
V217658,Poa,compressa,1966 Jun 16,46 m,A.S. Harrison,48.5,-123.36,Verbatim from Collector/Sheet,anthers
V217610,Phleum,pratense,1967 Aug 03,33 m,A.S. Harrison,48.5,-123.54,Verbatim from Collector/Sheet,no anthers
V217607,Phalaris,arundinacea,1973 Mar 20,30 m,B. Crawford,48.5,-123.4,Verbatim from Collector/Sheet,no anthers
V172148,Festuca,altaica,1980 Jun 22,,C.E. Garton,48.5,-89.4,Verbatim from Collector/Sheet,anthers
V175036,Cinna,latifolia,1981 Aug 14,,C.E. Garton,48.5,-90.6,Verbatim from Collector/Sheet,anthers
V173915,Festuca,saximontana,1980 Jul 08,,C.E. Garton,48.5,-89.2,Verbatim from Collector/Sheet,anthers
V19528,Glyceria,elata,1919 Jul 14,,John Davidson,48.5,-123.52,BC_GeographicalName Table,anthers
V19387,Festuca,idahoensis,1941 May 27,,John W. Eastham,48.5,-123.5,Verbatim from Collector/Sheet,anthers
V40487,Festuca,occidentalis,1950 May 17,55 m,Vladimir J. Krajina,48.5,-123.3,Verbatim from Collector/Sheet,no anthers
V19695,Hordeum,brachyantherum,1939 Jun 11,,John W. Eastham,48.5,-123.4,Verbatim from Collector/Sheet,anthers
V78333,Phalaris,arundinacea,1958 Jul 12,,A. Belzile,48.5,-67.4,Verbatim from Collector/Sheet,no anthers
V228941,Poa,compressa,1996 Jun 05,,Hans Roemer,48.5,-123.48,Verbatim from Collector/Sheet,no anthers
V237674,Festuca,saximontana,2007 Jun 05,189 m,Jeffery M. Saarela,48.5,-124.265,Verbatim from Collector/Sheet,no anthers
V17722,Agrostis,gigantea,1940 Jun 13,,Ian McTaggart Cowan,48.51,-123.63,BC_GeographicalName Table,anthers
V17631,Agrostis,scabra,1940 Jun 13,,Ian McTaggart Cowan,48.51,-123.63,BC_GeographicalName Table,anthers
V235340,Glyceria,elata,1940 Jun 13,,I. Cowan,48.51,-123.63,BC_GeographicalName Table,anthers
V237464,Alopecurus,geniculatus,2007 Jun 05,61 m,Jeffery M. Saarela,48.533,-124.444,Verbatim from Collector/Sheet,anthers
V237634,Elymus,glaucus,2007 Jun 05,61 m,Jeffery M. Saarela,48.533,-124.444,Verbatim from Collector/Sheet,no anthers
V237675,Festuca,saximontana,2007 Jun 05,61 m,Jeffery M. Saarela,48.533,-124.444,Verbatim from Collector/Sheet,anthers
V217633,Lolium,perenne,1966 May 25,76 m,A.S. Harrison,48.58,-123.4,Verbatim from Collector/Sheet,anthers
V217627,Lolium,multiflorum,1966 May 25,76 m,A.S. Harrison,48.58,-123.4,Verbatim from Collector/Sheet,no anthers
V217632,Lolium,perenne,1952 Jun 10,15 m,A.S. Harrison,48.58,-123.4,Verbatim from Collector/Sheet,anthers
V237483,Bromus,carinatus,2007 Jun 04,,Jeffery M. Saarela,48.58,-123.369,Verbatim from Collector/Sheet,no anthers
V237523,Bromus,diandrus,2007 Jun 04,,Jeffery M. Saarela,48.58,-123.369,Verbatim from Collector/Sheet,no anthers
V237525,Bromus,hordeaceus,2007 Jun 04,,Jeffery M. Saarela,48.58,-123.369,Verbatim from Collector/Sheet,anthers
V237716,Lolium,perenne,2007 Jun 04,,Jeffery M. Saarela,48.58,-123.369,Verbatim from Collector/Sheet,anthers
V223922,Calamagrostis,canadensis,2003 Jul 27,1145 m/3756 ft.,Ken Davis,48.588,-120.8024,Verbatim from Collector/Sheet,anthers
V178488,Aira,praecox,1982 Jul 02,,S.G. Aiken,48.59,-123.37,BC_GeographicalName Table,no anthers
V178514,Leymus,mollis,1982 Jul 02,,S.G. Aiken,48.59,-123.37,BC_GeographicalName Table,no anthers
V178525,Hordeum,brachyantherum,1982 Jul 02,,S.G. Aiken,48.59,-123.37,BC_GeographicalName Table,anthers
V17969,Arrhenatherum,elatius,1939 Jun,,W.R. Foster,48.6,-123.42,BC_GeographicalName Table,no anthers
V17922,Anthoxanthum,odoratum,1939 Jun,,W.R. Foster,48.6,-123.42,BC_GeographicalName Table,anthers
V17980,Avena,fatua,1932 Aug 01,,J. Travis,48.6,-123.42,BC_GeographicalName Table,anthers
V17970,Arrhenatherum,elatius,1939 Aug 10,,I. Mounce,48.6,-123.42,BC_GeographicalName Table,no anthers
V101098,Aira,caryophyllea,1963 May 07,,F. Tompka,48.6,-123.3,Verbatim from Collector/Sheet,no anthers
V82805,Aira,caryophyllea,1941 Jul 09,,Thomas M.C. Taylor,48.6,-123.42,BC_GeographicalName Table,no anthers
V17704,Agrostis,gigantea,1939 Aug 11,,Vernon C. Brink,48.6,-123.42,BC_GeographicalName Table,anthers
V17745,Agrostis,gigantea,1939 Jun,,W.R. Foster,48.6,-123.42,BC_GeographicalName Table,anthers
V108533,Aira,praecox,1941 Jul 19,,Thomas M.C. Taylor,48.6,-123.42,BC_GeographicalName Table,no anthers
V40502,Aira,praecox,1950 May 22,150 m,Vladimir J. Krajina,48.6,-123.6,Verbatim from Collector/Sheet,anthers
V17893,Alopecurus,myosuroides,1939 Jun,,W.R. Foster,48.6,-123.42,BC_GeographicalName Table,no anthers
V17892,Alopecurus,myosuroides,1939 Jun,,W.R. Foster,48.6,-123.4,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V17889,Alopecurus,pratensis,1939 Jun,,W.R. Foster,48.6,-123.42,BC_GeographicalName Table,no anthers
V119610,Deschampsia,caespitosa,1961 Jun 24,,James A. Calder,48.6,-124.4,Verbatim from Collector/Sheet,anthers
V18803,Deschampsia,caespitosa,1938 Jul 13,,John W. Eastham,48.6,-123.6,Verbatim from Collector/Sheet,anthers
V18812,Deschampsia,caespitosa,1939 Jun 21,,W.R. Foster,48.6,-123.4,Verbatim from Collector/Sheet,no anthers
V217617,Hordeum,brachyantherum,1967 Jul 12,33 m,A.S. Harrison,48.6,-123.41,Verbatim from Collector/Sheet,anthers
V217611,Phleum,pratense,1967 Jul 04,23 m,A.S. Harrison,48.6,-123.44,Verbatim from Collector/Sheet,no anthers
V217625,Lolium,multiflorum,1967 Jul 31,33 m,A.S. Harrison,48.6,-123.41,Verbatim from Collector/Sheet,anthers
V217656,Poa,compressa,1967 Jul 31,33 m,A.S. Harrison,48.6,-123.41,Verbatim from Collector/Sheet,anthers
V217655,Poa,compressa,1967 Jun 14,68 m,A.S. Harrison,48.6,-123.5,Verbatim from Collector/Sheet,no anthers
V173919,Muhlenbergia,mexicana,1980 Aug 15,,C.E. Garton,48.6,-89.2,Verbatim from Collector/Sheet,anthers
V175046,Glyceria,striata,1981 Jul 05,,C.E. Garton,48.6,-90.5,Verbatim from Collector/Sheet,anthers
V121064,Elymus,glaucus,1948 May 11,,Vernon C. Brink,48.6,-123.4,Verbatim from Collector/Sheet,no anthers
V108525,Deschampsia,elongata,1941 Jul 30,,Thomas M.C. Taylor,48.6,-123.4,Verbatim from Collector/Sheet,anthers
V101086,Bromus,hordeaceus,1963 May 11,,F. Tompka,48.62,-123.27,BC_GeographicalName Table,no anthers
V101096,Bromus,diandrus,1963 May 07,,F. Tompka,48.63,-123.29,BC_GeographicalName Table,no anthers
V217612,Phleum,pratense,1967 Jun 19,0-76 m,A.S. Harrison,48.63,-123.44,Verbatim from Collector/Sheet,no anthers
V231527,Glyceria,borealis,Jun 30,,J.K. Henry,48.63,-123.64,BC_GeographicalName Table,no anthers
V48989,Anthoxanthum,odoratum,1920 Jun 07,200,[G] Copley,48.63,-123.64,BC_GeographicalName Table,no anthers
V97582,Ammophila,arenaria,1962 Jul 24,,T.R. Ashlee,48.65,-123.4,BC_GeographicalName Table,anthers
V18911,Echinochloa,crus-galli,1924 Oct 14,,W.T. Macdonald,48.65,-123.66,BC_GeographicalName Table,no anthers
V218609,Cinna,latifolia,1991 Jul 17,,Leon E. Pavlick,48.65,-123.63,Verbatim from Collector/Sheet,anthers
V101076,Anthoxanthum,odoratum,1963 May,,F. Tompka,48.67,-123.32,BC_GeographicalName Table,anthers
V101078,Bromus,hordeaceus,1963 May,,F. Tompka,48.67,-123.32,BC_GeographicalName Table,no anthers
V237466,Alopecurus,pratensis,2007 Jun 04,35 m,Jeffery M. Saarela,48.671,-123.472,Verbatim from Collector/Sheet,anthers
V237633,Elymus,glaucus,2007 Jun 04,35 m,Jeffery M. Saarela,48.671,-123.472,Verbatim from Collector/Sheet,anthers
V237655,Festuca,occidentalis,2007 Jun 04,35 m,Jeffery M. Saarela,48.671,-123.472,Verbatim from Collector/Sheet,anthers
V237662,Festuca,rubra,2007 Jun 04,35 m,Jeffery M. Saarela,48.671,-123.472,Verbatim from Collector/Sheet,no anthers
V237693,Holcus,lanatus,2007 Jun 04,35 m,Jeffery M. Saarela,48.671,-123.472,Verbatim from Collector/Sheet,anthers
V237714,Lolium,multiflorum,2007 Jun 04,35 m,Jeffery M. Saarela,48.671,-123.472,Verbatim from Collector/Sheet,anthers
V237467,Alopecurus,pratensis,2007 Jun 05,202 m,Jeffery M. Saarela,48.676,-124.2220555555555556,Verbatim from Collector/Sheet,no anthers
V237676,Festuca,saximontana,2007 Jun 05,202 m,Jeffery M. Saarela,48.676,-124.222,Verbatim from Collector/Sheet,anthers
V17964,Arrhenatherum,elatius,1940 Oct 22,,R. Derringberg,48.7,-123.5,Verbatim from Collector/Sheet,no anthers
V17896,Ammophila,arenaria,1939 Jul 01,,W. Newton,48.7,-123.3,Verbatim from Collector/Sheet,anthers
V17895,Ammophila,arenaria,1946 Jun 10,,W. Newton,48.7,-123.3,Verbatim from Collector/Sheet,no anthers
V18598,Cinna,latifolia,1899 Sep 05,,J.R. Anderson,48.7,-123.6,Ministry of Natural Resource Operations - BC Geographical Names,no anthers
V19392,Festuca,rubra,1939 Jun 13,,John W. Eastham,48.7,-123.4,Verbatim from Collector/Sheet,no anthers
V19245,Festuca,occidentalis,1912 Jun 20,,Professor J. Macoun,48.7,-123.4,Ministry of Natural Resource Operations - BC Geographical Names,no anthers
V19658,Hordeum,jubatum,1939 Jul 07,,Thomas M.C. Taylor,48.7,-86.3,Verbatim from Collector/Sheet,no anthers
V18647,Dactylis,glomerata,1946 Jun 10,,W. Newton,48.7,-123.3,Verbatim from Collector/Sheet,anthers
V217626,Lolium,multiflorum,1966 Jun 29,33 m,A.S. Harrison,48.7,-123.5,Verbatim from Collector/Sheet,no anthers
V217618,Hordeum,brachyantherum,1967 Jul 11,0-33 m,A.S. Harrison,48.7,-123.46,Verbatim from Collector/Sheet,anthers
V81625,Holcus,lanatus,1955 Jul 11,,Sheila Buchanan,48.7,-123.2,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V108666,Elymus,glaucus,1954 Jul 06,,Thomas M.C. Taylor,48.7,-123.4,Verbatim from Collector/Sheet,anthers
V108670,Leymus,mollis,1954 Jul 06,,Thomas M.C. Taylor,48.7,-123.4,Verbatim from Collector/Sheet,anthers
V142416,Eragrostis,cilianensis,1972 Jul 31,,C.E. Garton,48.7,-93.6,Verbatim from Collector/Sheet,anthers
V81626,Holcus,lanatus,1955 Jul 11,,Sheila Buchanan,48.7,-123.2,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V19696,Hordeum,brachyantherum,1939 Jun 13,,John W. Eastham,48.7,-123.4,Verbatim from Collector/Sheet,anthers
V18982,Elymus,glaucus,1939 Jun 13,,John W. Eastham,48.7,-123.4,Verbatim from Collector/Sheet,anthers
V45371,Leymus,mollis,1952 Jul 28,,Thomas M.C. Taylor,48.7,-123.4,Verbatim from Collector/Sheet,no anthers
V236704,Elymus,trachycaulus,1971 Aug,,V.C. Brink,48.7,-124.9,Ministry of Natural Resource Operations - BC Geographical Names,anthers
V237663,Festuca,rubra,2007 Jun 05,325 m,Jeffery M. Saarela,48.708,-124.205,Verbatim from Collector/Sheet,anthers
V237677,Festuca,saximontana,2007 Jun 05,325 m,Jeffery M. Saarela,48.708,-124.205,Verbatim from Collector/Sheet,anthers
V237717,Lolium,perenne,2007 Jun 05,325 m,Jeffery M. Saarela,48.708,-124.205,Verbatim from Collector/Sheet,anthers
V178505,Deschampsia,elongata,1982 Jul 03,290 m,S.G. Aiken,48.74,-123.4,Verbatim from Collector/Sheet,anthers
V223918,Poa,alpina,2003 Jul 26,2270 m/7446 ft.,Richard G. Olmstead,48.7418,-120.681,Verbatim from Collector/Sheet,anthers
V223920,Festuca,rubra,2003 Jul 26,2270 m/7446 ft.,Richard G. Olmstead,48.7418,-120.681,Verbatim from Collector/Sheet,anthers
V223921,Elymus,elymoides,2003 Jul 26,2270 m/7446 ft,Richard G. Olmstead,48.7418,-120.681,Verbatim from Collector/Sheet,anthers
V223923,Festuca,idahoensis,2003 Jul 26,2270 m/7446 ft.,Richard G. Olmstead,48.7418,-120.681,Verbatim from Collector/Sheet,anthers
V233018,Koeleria,macrantha,2006 May 23,10 m,Frank Lomer,48.7489,-123.2695,Verbatim from Collector/Sheet,anthers
V81616,Bromus,hordeaceus,1955 Jul 14,,Sheila Buchanan,48.75,-123.21,BC_GeographicalName Table,no anthers
V82969,Agrostis,stolonifera,1957 Oct 19,,T.R. Ashlee,48.75,-123.21,BC_GeographicalName Table,no anthers
V81638,Festuca,occidentalis,1955 Jul 12,,Sheila Buchanan,48.75,-123.21,BC_GeographicalName Table,anthers
V97565,Elymus,glaucus,1957 Aug 19,,T.R. Ashlee,48.75,-123.21,BC_GeographicalName Table,no anthers
V144703,Anthoxanthum,odoratum,1972 Aug 15,,Thomas P. Sullivan,48.78,-123.15,BC_GeographicalName Table,anthers
V17478,Elymus,trachycaulus,1900 Jul 02,,J.R. Anderson,48.78,-123.71,BC_GeographicalName Table,anthers
V103584,Agrostis,exarata,1954 Aug 25,,James A. Calder,48.78,-123.71,BC_GeographicalName Table,anthers
V144705,Agrostis,exarata,1972 Aug 22,,Thomas P. Sullivan,48.78,-123.15,BC_GeographicalName Table,no anthers
V58518,Alopecurus,geniculatus,1949 May 16,61 m,D. Charter,48.78,-123.71,BC_GeographicalName Table,anthers
V144706,Festuca,occidentalis,1972 Jul 15,,Thomas P. Sullivan,48.78,-123.15,BC_GeographicalName Table,no anthers
V144714,Elymus,glaucus,1972 Jul 22,,Thomas P. Sullivan,48.78,-123.15,BC_GeographicalName Table,no anthers
V144724,Elymus,glaucus,1972 Jul 07,,Thomas P. Sullivan,48.78,-123.15,BC_GeographicalName Table,anthers
V223915,Echinochloa,crus-galli,1986 Aug 20,5 m,H. Janszen,48.79,-123.18,Verbatim from Collector/Sheet,anthers
V227503,Phalaris,arundinacea,2008 Jul 15,6 m,Frank Lomer,48.79,-123.7,Verbatim from Collector/Sheet,anthers
V230705,Bromus,commutatus,2002 Jun 11,7 m,Frank Lomer,48.79,-123.71,Verbatim from Collector/Sheet,anthers
V223911,Agrostis,stolonifera,1998 Jul 19,ca. 10 m,George W. Douglas,48.792,-123.701,Verbatim from Collector/Sheet,anthers
V238053,Leymus,mollis,2012 Jun 26,0 m,Erin R. Manton,48.7929,-125.11678,Verbatim from Collector/Sheet,anthers
V103325,Aira,caryophyllea,1961 Jun 11,,James A. Calder,48.8,-125.1,Verbatim from Collector/Sheet,anthers
V119612,Anthoxanthum,odoratum,1961 May 06,,James A. Calder,48.8,-123.2,Verbatim from Collector/Sheet,anthers
V17452,Elymus,trachycaulus,1937 Aug 03,,R.C. Hosie,48.8,-87.3,Verbatim from Collector/Sheet,anthers
V17456,Elymus,trachycaulus,1937 Jul 12,,R.C. Hosie,48.8,-87.3,Verbatim from Collector/Sheet,anthers
V17458,Elymus,trachycaulus,1937 Jul 12,,R.C. Hosie,48.8,-87.3,Verbatim from Collector/Sheet,anthers
V17469,Elymus,trachycaulus,1937 Jul 14,,R.C. Hosie,48.8,-87.3,Verbatim from Collector/Sheet,no anthers
V17463,Elymus,trachycaulus,1937 Jul 20,,R.C. Hosie,48.8,-87.3,Verbatim from Collector/Sheet,anthers
V17462,Elymus,trachycaulus,1937 Jul 21,,R.C. Hosie,48.8,-87.3,Verbatim from Collector/Sheet,anthers
V17266,Elymus,repens,1937 Jul 06,,R.C. Hosie,48.8,-87.3,Verbatim from Collector/Sheet,anthers
V17518,Elymus,trachycaulus,1937 Jul 06,,R.C. Hosie,48.8,-87.3,Verbatim from Collector/Sheet,no anthers
V17432,Elymus,trachycaulus,1937 Jul 06,,R.C. Hosie,48.8,-87.3,Verbatim from Collector/Sheet,no anthers
V17461,Elymus,trachycaulus,1937 Jul 09,,R.C. Hosie,48.8,-87.3,Verbatim from Collector/Sheet,anthers
V17457,Elymus,trachycaulus,1937 Jul 09,,R.C. Hosie,48.8,-87.3,Verbatim from Collector/Sheet,anthers
V17257,Elymus,repens,1937 Jun 29,,R.C. Hosie,48.8,-87.3,Verbatim from Collector/Sheet,no anthers
V17703,Agrostis,stolonifera,1939 Aug 01,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,anthers
V17438,Elymus,trachycaulus,1939 Aug 17,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,no anthers
V18168,Bromus,inermis,1939 Aug 17,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,no anthers
V17901,Ammophila,breviligulata,1939 Aug 22,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,anthers
V17899,Ammophila,breviligulata,1939 Aug 22,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,anthers
V17982,Avena,fatua,1939 Aug 22,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,no anthers
V18452,Calamagrostis,stricta,1939 Aug 22,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,anthers
V17983,Avena,fatua,1939 Aug 04,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,no anthers
V18449,Calamagrostis,stricta,1939 Aug 04,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,anthers
V17495,Elymus,trachycaulus,1939 Aug 05,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,anthers
V17455,Elymus,trachycaulus,1939 Aug 05,,Thomas M.C. Taylor,48.8,-85.3,Verbatim from Collector/Sheet,anthers
V17702,Agrostis,stolonifera,1939 Aug 05,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,no anthers
V17261,Elymus,repens,1939 Jul 10,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,no anthers
V17260,Elymus,repens,1939 Jul 10,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,no anthers
V17496,Elymus,trachycaulus,1939 Jul 11,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,no anthers
V18018,Beckmannia,syzigachne,1939 Jul 18,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,anthers
V18448,Calamagrostis,stricta,1939 Jul 18,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,no anthers
V18108,Bromus,ciliatus,1939 Jul 19,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,no anthers
V18447,Calamagrostis,stricta,1939 Jul 19,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,no anthers
V17453,Elymus,trachycaulus,1939 Jul 19,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,anthers
V17454,Elymus,trachycaulus,1937 Jul 20,,Thomas M.C. Taylor,48.8,-85.3,Verbatim from Collector/Sheet,anthers
V17900,Ammophila,breviligulata,1939 Jul 20,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,no anthers
V18233,Bromus,pumpellianus,1939 Jul 22,,Thomas M.C. Taylor,48.8,-86.3,Verbatim from Collector/Sheet,anthers
